parameter,meaning,value,unit,source
tau_LGN,LGN 中继时间常数,20 × scale,ms,模型假设
tau_E,三级兴奋时间常数,"20,40,80 × scale",ms,模型假设
tau_I,三级抑制时间常数,"40,80,160 × scale",ms,模型假设
tau_syn_E,三级兴奋双低通突触核,"25,50,100 × scale",ms,模型假设
tau_syn_I,三级抑制双低通突触核,"75,150,300 × scale",ms,模型假设
"w_EE,w_EI,w_IE,w_II",局部 E/I 耦合,"1,1,1,1",无量纲,模型假设
"feedforward,input",级间偏离静息驱动及输入增益,"3,3",无量纲,模型假设
"bias,inhibitory_weight",sigmoid 偏置和抑制突触权重,"-2,0.7",无量纲,模型假设
scale,全局时间尺度,"0.75,1,1.25",无量纲,训练内留块选取
recurrence,同级对称交互强度,"0,0.1,0.2",无量纲,训练内留块选取
lambda,有效观测矩阵岭正则,"0.1,0.3,1,3,10,30,100",归一化源单位,训练内留块选取
L,条件共享的 3×9 有效观测矩阵,岭回归；不反演解剖坐标,记录幅值单位/归一化源,仅训练ERP估计
duration,模拟视觉输入时长,52/256；实测另有53/256,s,事件记录代表值
geometry,图像形状输入,题图像素、镜像；不等于实际视角,示意图像素,题图及模型构造
"fs,bandpass,notch",采样与观测滤波,256;0.1–30;60(Q=30),Hz,采样率实测；滤波固定
"guard,baseline",时间块保护及基线,24 s；刺激前250 ms中位数,"s,ms",固定方案
LDA_shrinkage,协方差收缩强度,0.8,无量纲,固定，未按测试分数优化
